date,year,month,decimal_year,toa_net_flux_w_m2,EEI
2000-03-01,2000,3,2000.208333,5.960000,
2000-04-01,2000,4,2000.291667,1.930000,
2000-05-01,2000,5,2000.375000,-5.930000,
2000-06-01,2000,6,2000.458333,-10.230000,
2000-07-01,2000,7,2000.541667,-8.710000,
2000-08-01,2000,8,2000.625000,-5.210000,
2000-09-01,2000,9,2000.708333,-0.900000,
2000-10-01,2000,10,2000.791667,1.660000,
2000-11-01,2000,11,2000.875000,4.150000,
2000-12-01,2000,12,2000.958333,6.010000,
2001-01-01,2001,1,2001.041667,9.780000,
2001-02-01,2001,2,2001.125000,8.970000,
2001-03-01,2001,3,2001.208333,7.540000,
2001-04-01,2001,4,2001.291667,1.000000,
2001-05-01,2001,5,2001.375000,-6.110000,
2001-06-01,2001,6,2001.458333,-9.730000,
2001-07-01,2001,7,2001.541667,-8.670000,
2001-08-01,2001,8,2001.625000,-6.100000,
2001-09-01,2001,9,2001.708333,0.010000,
2001-10-01,2001,10,2001.791667,1.100000,
2001-11-01,2001,11,2001.875000,3.570000,
2001-12-01,2001,12,2001.958333,5.160000,
2002-01-01,2002,1,2002.041667,7.820000,
2002-02-01,2002,2,2002.125000,8.040000,
2002-03-01,2002,3,2002.208333,6.500000,
2002-04-01,2002,4,2002.291667,0.700000,
2002-05-01,2002,5,2002.375000,-5.570000,
2002-06-01,2002,6,2002.458333,-10.110000,
2002-07-01,2002,7,2002.541667,-10.170000,
2002-08-01,2002,8,2002.625000,-6.580000,
2002-09-01,2002,9,2002.708333,-1.170000,
2002-10-01,2002,10,2002.791667,2.590000,
2002-11-01,2002,11,2002.875000,3.520000,
2002-12-01,2002,12,2002.958333,6.050000,
2003-01-01,2003,1,2003.041667,7.620000,
2003-02-01,2003,2,2003.125000,8.850000,
2003-03-01,2003,3,2003.208333,6.410000,
2003-04-01,2003,4,2003.291667,1.290000,
2003-05-01,2003,5,2003.375000,-6.010000,
2003-06-01,2003,6,2003.458333,-9.440000,
2003-07-01,2003,7,2003.541667,-8.910000,
2003-08-01,2003,8,2003.625000,-4.720000,
2003-09-01,2003,9,2003.708333,-0.590000,
2003-10-01,2003,10,2003.791667,1.590000,
2003-11-01,2003,11,2003.875000,3.750000,
2003-12-01,2003,12,2003.958333,6.010000,
2004-01-01,2004,1,2004.041667,8.640000,
2004-02-01,2004,2,2004.125000,9.090000,
2004-03-01,2004,3,2004.208333,5.570000,
2004-04-01,2004,4,2004.291667,2.360000,
2004-05-01,2004,5,2004.375000,-6.480000,
2004-06-01,2004,6,2004.458333,-10.490000,
2004-07-01,2004,7,2004.541667,-7.850000,
2004-08-01,2004,8,2004.625000,-5.200000,
2004-09-01,2004,9,2004.708333,-0.040000,
2004-10-01,2004,10,2004.791667,1.360000,
2004-11-01,2004,11,2004.875000,4.180000,
2004-12-01,2004,12,2004.958333,7.190000,
2005-01-01,2005,1,2005.041667,8.040000,
2005-02-01,2005,2,2005.125000,7.820000,
2005-03-01,2005,3,2005.208333,6.610000,
2005-04-01,2005,4,2005.291667,1.120000,
2005-05-01,2005,5,2005.375000,-4.320000,
2005-06-01,2005,6,2005.458333,-9.910000,
2005-07-01,2005,7,2005.541667,-9.850000,
2005-08-01,2005,8,2005.625000,-5.940000,
2005-09-01,2005,9,2005.708333,-0.660000,
2005-10-01,2005,10,2005.791667,1.490000,
2005-11-01,2005,11,2005.875000,3.570000,
2005-12-01,2005,12,2005.958333,7.000000,
2006-01-01,2006,1,2006.041667,8.980000,
2006-02-01,2006,2,2006.125000,9.190000,
2006-03-01,2006,3,2006.208333,6.600000,
2006-04-01,2006,4,2006.291667,2.400000,
2006-05-01,2006,5,2006.375000,-4.230000,
2006-06-01,2006,6,2006.458333,-9.200000,
2006-07-01,2006,7,2006.541667,-9.330000,
2006-08-01,2006,8,2006.625000,-5.810000,0.187436
2006-09-01,2006,9,2006.708333,-0.490000,0.104744
2006-10-01,2006,10,2006.791667,1.220000,0.095641
2006-11-01,2006,11,2006.875000,4.340000,0.227308
2006-12-01,2006,12,2006.958333,6.090000,0.436538
2007-01-01,2007,1,2007.041667,6.920000,0.636923
2007-02-01,2007,2,2007.125000,8.550000,0.813333
2007-03-01,2007,3,2007.208333,5.880000,0.900256
2007-04-01,2007,4,2007.291667,1.910000,0.903462
2007-05-01,2007,5,2007.375000,-5.620000,0.778205
2007-06-01,2007,6,2007.458333,-8.700000,0.589615
2007-07-01,2007,7,2007.541667,-8.860000,0.350641
2007-08-01,2007,8,2007.625000,-5.710000,0.162436
2007-09-01,2007,9,2007.708333,-1.760000,0.043205
2007-10-01,2007,10,2007.791667,1.640000,0.051410
2007-11-01,2007,11,2007.875000,3.060000,0.168974
2007-12-01,2007,12,2007.958333,5.060000,0.358590
2008-01-01,2008,1,2008.041667,8.560000,0.579487
2008-02-01,2008,2,2008.125000,8.410000,0.765513
2008-03-01,2008,3,2008.208333,7.560000,0.862308
2008-04-01,2008,4,2008.291667,1.790000,0.871154
2008-05-01,2008,5,2008.375000,-4.160000,0.772051
2008-06-01,2008,6,2008.458333,-8.630000,0.595256
2008-07-01,2008,7,2008.541667,-8.090000,0.391282
2008-08-01,2008,8,2008.625000,-3.870000,0.238590
2008-09-01,2008,9,2008.708333,-0.710000,0.146154
2008-10-01,2008,10,2008.791667,2.660000,0.171282
2008-11-01,2008,11,2008.875000,3.520000,0.287821
2008-12-01,2008,12,2008.958333,7.340000,0.511538
2009-01-01,2009,1,2009.041667,8.680000,0.753205
2009-02-01,2009,2,2009.125000,9.290000,0.956667
2009-03-01,2009,3,2009.208333,7.430000,1.066923
2009-04-01,2009,4,2009.291667,1.890000,1.057949
2009-05-01,2009,5,2009.375000,-4.400000,0.956410
2009-06-01,2009,6,2009.458333,-7.530000,0.782308
2009-07-01,2009,7,2009.541667,-8.830000,0.571410
2009-08-01,2009,8,2009.625000,-5.040000,0.393333
2009-09-01,2009,9,2009.708333,-1.390000,0.293333
2009-10-01,2009,10,2009.791667,1.540000,0.296538
2009-11-01,2009,11,2009.875000,2.930000,0.411154
2009-12-01,2009,12,2009.958333,6.260000,0.612436
2010-01-01,2010,1,2010.041667,6.660000,0.812051
2010-02-01,2010,2,2010.125000,8.080000,0.976154
2010-03-01,2010,3,2010.208333,5.630000,1.055897
2010-04-01,2010,4,2010.291667,2.080000,1.062179
2010-05-01,2010,5,2010.375000,-5.950000,0.937821
2010-06-01,2010,6,2010.458333,-9.730000,0.736026
2010-07-01,2010,7,2010.541667,-9.350000,0.505385
2010-08-01,2010,8,2010.625000,-6.050000,0.311282
2010-09-01,2010,9,2010.708333,-0.950000,0.227692
2010-10-01,2010,10,2010.791667,1.510000,0.216795
2010-11-01,2010,11,2010.875000,2.650000,0.333846
2010-12-01,2010,12,2010.958333,5.660000,0.540897
2011-01-01,2011,1,2011.041667,8.580000,0.751538
2011-02-01,2011,2,2011.125000,8.490000,0.927051
2011-03-01,2011,3,2011.208333,6.860000,1.015513
2011-04-01,2011,4,2011.291667,2.400000,1.028846
2011-05-01,2011,5,2011.375000,-4.270000,0.920513
2011-06-01,2011,6,2011.458333,-9.490000,0.706667
2011-07-01,2011,7,2011.541667,-8.980000,0.488462
2011-08-01,2011,8,2011.625000,-5.380000,0.319231
2011-09-01,2011,9,2011.708333,-1.360000,0.217051
2011-10-01,2011,10,2011.791667,3.090000,0.242308
2011-11-01,2011,11,2011.875000,3.980000,0.348718
2011-12-01,2011,12,2011.958333,4.800000,0.537308
2012-01-01,2012,1,2012.041667,8.740000,0.775641
2012-02-01,2012,2,2012.125000,10.670000,0.988590
2012-03-01,2012,3,2012.208333,6.700000,1.082949
2012-04-01,2012,4,2012.291667,2.570000,1.096795
2012-05-01,2012,5,2012.375000,-4.200000,0.997179
2012-06-01,2012,6,2012.458333,-8.740000,0.795385
2012-07-01,2012,7,2012.541667,-8.200000,0.575128
2012-08-01,2012,8,2012.625000,-4.530000,0.399231
2012-09-01,2012,9,2012.708333,-0.660000,0.306154
2012-10-01,2012,10,2012.791667,2.620000,0.308974
2012-11-01,2012,11,2012.875000,4.570000,0.421795
2012-12-01,2012,12,2012.958333,7.060000,0.630256
2013-01-01,2013,1,2013.041667,6.780000,0.836795
2013-02-01,2013,2,2013.125000,8.480000,1.020000
2013-03-01,2013,3,2013.208333,7.340000,1.120385
2013-04-01,2013,4,2013.291667,1.300000,1.121410
2013-05-01,2013,5,2013.375000,-4.800000,1.004231
2013-06-01,2013,6,2013.458333,-9.600000,0.803077
2013-07-01,2013,7,2013.541667,-8.360000,0.607179
2013-08-01,2013,8,2013.625000,-4.940000,0.434231
2013-09-01,2013,9,2013.708333,-0.790000,0.348718
2013-10-01,2013,10,2013.791667,1.560000,0.344231
2013-11-01,2013,11,2013.875000,3.880000,0.466026
2013-12-01,2013,12,2013.958333,6.200000,0.657051
2014-01-01,2014,1,2014.041667,7.850000,0.871282
2014-02-01,2014,2,2014.125000,8.450000,1.052821
2014-03-01,2014,3,2014.208333,7.050000,1.165769
2014-04-01,2014,4,2014.291667,2.400000,1.175513
2014-05-01,2014,5,2014.375000,-4.300000,1.081154
2014-06-01,2014,6,2014.458333,-9.570000,0.893590
2014-07-01,2014,7,2014.541667,-9.380000,0.663590
2014-08-01,2014,8,2014.625000,-4.210000,0.501795
2014-09-01,2014,9,2014.708333,-0.180000,0.402564
2014-10-01,2014,10,2014.791667,2.230000,0.408205
2014-11-01,2014,11,2014.875000,4.100000,0.514103
2014-12-01,2014,12,2014.958333,5.850000,0.699744
2015-01-01,2015,1,2015.041667,7.410000,0.898462
2015-02-01,2015,2,2015.125000,9.210000,1.066154
2015-03-01,2015,3,2015.208333,7.100000,1.166282
2015-04-01,2015,4,2015.291667,2.320000,1.161923
2015-05-01,2015,5,2015.375000,-4.300000,1.061667
2015-06-01,2015,6,2015.458333,-8.900000,0.853462
2015-07-01,2015,7,2015.541667,-8.050000,0.638974
2015-08-01,2015,8,2015.625000,-4.210000,0.465897
2015-09-01,2015,9,2015.708333,0.210000,0.373333
2015-10-01,2015,10,2015.791667,2.290000,0.378462
2015-11-01,2015,11,2015.875000,3.900000,0.484872
2015-12-01,2015,12,2015.958333,6.120000,0.659872
2016-01-01,2016,1,2016.041667,8.000000,0.875641
2016-02-01,2016,2,2016.125000,7.310000,1.033974
2016-03-01,2016,3,2016.208333,6.320000,1.132821
2016-04-01,2016,4,2016.291667,1.480000,1.132051
2016-05-01,2016,5,2016.375000,-4.890000,1.031795
2016-06-01,2016,6,2016.458333,-7.530000,0.855000
2016-07-01,2016,7,2016.541667,-8.190000,0.664615
2016-08-01,2016,8,2016.625000,-4.640000,0.501538
2016-09-01,2016,9,2016.708333,-0.240000,0.426282
2016-10-01,2016,10,2016.791667,2.040000,0.425769
2016-11-01,2016,11,2016.875000,4.820000,0.563846
2016-12-01,2016,12,2016.958333,6.870000,0.776667
2017-01-01,2017,1,2017.041667,9.280000,1.015513
2017-02-01,2017,2,2017.125000,9.710000,1.217564
2017-03-01,2017,3,2017.208333,7.250000,1.322692
2017-04-01,2017,4,2017.291667,1.930000,1.328077
2017-05-01,2017,5,2017.375000,-5.210000,1.227308
2017-06-01,2017,6,2017.458333,-8.440000,1.046538
2017-07-01,2017,7,2017.541667,-8.100000,0.832692
2017-08-01,2017,8,2017.625000,-5.070000,0.658846
2017-09-01,2017,9,2017.708333,-1.040000,0.557564
2017-10-01,2017,10,2017.791667,1.360000,0.544231
2017-11-01,2017,11,2017.875000,4.010000,0.650385
2017-12-01,2017,12,2017.958333,5.700000,0.845128
2018-01-01,2018,1,2018.041667,8.850000,1.073718
2018-02-01,2018,2,2018.125000,9.160000,1.260128
2018-03-01,2018,3,2018.208333,6.710000,1.363590
2018-04-01,2018,4,2018.291667,2.990000,1.362308
2018-05-01,2018,5,2018.375000,-4.410000,1.254744
2018-06-01,2018,6,2018.458333,-9.550000,1.070769
2018-07-01,2018,7,2018.541667,-8.540000,0.849231
2018-08-01,2018,8,2018.625000,-4.800000,0.650897
2018-09-01,2018,9,2018.708333,0.420000,0.570385
2018-10-01,2018,10,2018.791667,2.980000,0.575641
2018-11-01,2018,11,2018.875000,5.120000,0.695128
2018-12-01,2018,12,2018.958333,7.470000,0.902949
2019-01-01,2019,1,2019.041667,8.660000,1.119103
2019-02-01,2019,2,2019.125000,9.450000,1.298333
